Identity,Name,Origin name,Destination name,Flight price,Flight sale price,Flight description,Final URL,ImageURL
BOM,DXB,Mumbai,Dubai,13094 INR,10999 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=DXB&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DUBAI.png
DEL,DXB,New Delhi,Dubai,13790 INR,12411 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DEL&to=DXB&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DUBAI.png
COK,DXB,Kochi,Dubai,18627 INR,16765 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=COK&to=DXB&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DUBAI.png
DEL,BKK,New Delhi,Bangkok,12642 INR,11378 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DEL&to=BKK&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_BANGKOK.png
BLR,DXB,Bangalore,Dubai,14438 INR,12995 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BLR&to=DXB&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DUBAI.png
DXB,BOM,Dubai,Mumbai,7248 INR,6011 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DXB&to=BOM&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_MUMBAI.png
BOM,BKK,Mumbai,Bangkok,10749 INR,9460 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=BOM&to=BKK&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_BANGKOK.png
HYD,DXB,Hyderabad,Dubai,13498 INR,12078 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=HYD&to=DXB&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_DUBAI.png
DXB,DEL,Dubai,New Delhi,8513 INR,7151 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DXB&to=DEL&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_NEWDELHI.png
DEL,LHR,New Delhi,London,49673 INR,44706 INR,Starting from,https://www.cleartrip.com/flights/international/results?adults=1&childs=0&infants=0&class=Economy&depart_date=&from=DEL&to=LHR&intl=y&utm_source=google_DRM&utm_medium=cpa,https://fastui.cltpstatic.com/image/upload/f_auto/offermgmt/dynamicRemarketing/DRMSET2_LONDON.png
